Time	Sample	Type	chan	num	Aux
00:00.676	169	N	1	0	
00:01.576	394	N	1	0	
00:02.484	621	N	1	0	
00:03.376	844	N	1	0	
00:04.284	1071	N	1	0	
00:05.192	1298	N	1	0	
00:06.080	1520	N	1	0	
00:06.976	1744	N	1	0	
00:07.872	1968	N	1	0	
00:08.744	2186	N	1	0	
00:09.624	2406	N	1	0	
00:10.484	2621	N	1	0	
00:11.356	2839	N	1	0	
00:12.220	3055	N	1	0	
00:13.060	3265	N	1	0	
00:13.892	3473	N	1	0	
00:14.308	3577	N	1	0	
00:14.724	3681	N	1	0	
00:15.516	3879	N	1	0	
00:16.304	4076	N	1	0	
00:17.128	4282	N	1	0	
00:17.456	4364	|	1	0	
00:18.740	4685	N	1	0	
00:19.572	4893	N	1	0	
00:20.412	5103	N	1	0	
00:21.260	5315	N	1	0	
00:22.108	5527	N	1	0	
00:22.484	5621	|	1	0	
00:24.376	6094	N	1	0	
00:24.612	6153	|	1	0	
00:26.904	6726	N	1	0	
00:27.128	6782	|	1	0	
00:36.044	9011	N	1	0	
00:36.248	9062	|	1	0	
00:37.988	9497	|	1	0	
00:43.440	10860	N	1	0	
00:44.020	11005	N	1	0	
00:44.468	11117	N	1	0	
00:44.720	11180	|	1	0	
00:47.656	11914	|	1	0	
00:55.296	13824	N	1	0	
00:55.760	13940	|	1	0	
00:56.456	14114	N	1	0	
00:56.720	14180	|	1	0	
00:58.056	14514	N	1	0	
00:58.380	14595	N	1	0	
00:58.748	14687	N	1	0	
00:59.204	14801	|	1	0	
01:01.008	15252	N	1	0	
01:01.376	15344	|	1	0	
01:02.964	15741	|	1	0	
01:03.708	15927	|	1	0	
01:04.796	16199	N	1	0	
01:05.128	16282	N	1	0	
01:05.940	16485	|	1	0	
01:08.252	17063	N	1	0	
01:08.988	17247	N	1	0	
01:09.736	17434	N	1	0	
01:10.468	17617	N	1	0	
01:11.236	17809	N	1	0	
01:11.536	17884	N	1	0	
01:11.984	17996	N	1	0	
01:12.300	18075	|	1	0	
01:15.380	18845	|	1	0	
01:16.888	19222	N	1	0	
01:17.492	19373	N	1	0	
01:18.304	19576	N	1	0	
01:19.100	19775	N	1	0	
01:19.900	19975	N	1	0	
01:20.656	20164	N	1	0	
01:21.464	20366	N	1	0	
