Time	Sample	Type	chan	num	Aux
00:00.008	2	|	1	0	
00:52.640	13160	|	1	0	
00:53.420	13355	|	1	0	
00:53.936	13484	|	1	0	
00:55.020	13755	|	1	0	
01:01.204	15301	|	1	0	
01:07.816	16954	|	1	0	
01:08.628	17157	N	1	0	
01:08.976	17244	|	1	0	
01:10.872	17718	N	1	0	
01:11.120	17780	N	1	0	
01:11.640	17910	|	1	0	
01:17.012	19253	|	1	0	
01:18.484	19621	N	1	0	
01:18.904	19726	|	1	0	
01:22.216	20554	|	1	0	
01:27.008	21752	|	1	0	
01:27.932	21983	|	1	0	
01:29.776	22444	|	1	0	
01:30.468	22617	N	1	0	
01:30.728	22682	|	1	0	
01:32.452	23113	|	1	0	
01:33.120	23280	|	1	0	
01:34.240	23560	N	1	0	
01:34.472	23618	N	1	0	
01:34.716	23679	|	1	0	
01:35.536	23884	|	1	0	
01:36.256	24064	|	1	0	
01:37.396	24349	N	1	0	
01:37.636	24409	N	1	0	
01:37.948	24487	|	1	0	
01:38.520	24630	N	1	0	
01:38.996	24749	|	1	0	
01:39.916	24979	|	1	0	
01:40.900	25225	|	1	0	
01:43.852	25963	|	1	0	
01:46.208	26552	|	1	0	
01:47.688	26922	|	1	0	
01:56.956	29239	|	1	0	
01:57.564	29391	|	1	0	
01:58.300	29575	N	1	0	
01:58.652	29663	|	1	0	
01:59.200	29800	N	1	0	
01:59.524	29881	|	1	0	
02:01.244	30311	N	1	0	
02:02.032	30508	N	1	0	
02:02.608	30652	|	1	0	
02:03.744	30936	N	1	0	
02:04.688	31172	N	1	0	
02:05.488	31372	|	1	0	
02:06.448	31612	N	1	0	
02:06.680	31670	N	1	0	
02:07.296	31824	N	1	0	
02:08.148	32037	N	1	0	
02:09.012	32253	N	1	0	
02:09.576	32394	N	1	0	
02:09.816	32454	N	1	0	
02:10.048	32512	|	1	0	
02:10.448	32612	N	1	0	
02:10.648	32662	N	1	0	
02:11.456	32864	N	1	0	
02:11.736	32934	N	1	0	
02:12.244	33061	N	1	0	
02:12.472	33118	|	1	0	
02:13.256	33314	|	1	0	
02:14.160	33540	N	1	0	
02:14.612	33653	|	1	0	
02:16.328	34082	N	1	0	
02:17.416	34354	N	1	0	
02:18.472	34618	N	1	0	
02:18.716	34679	N	1	0	
02:19.368	34842	N	1	0	
02:20.236	35059	N	1	0	
02:20.472	35118	N	1	0	
02:20.796	35199	N	1	0	
02:21.120	35280	N	1	0	
02:21.820	35455	|	1	0	
02:22.736	35684	|	1	0	
02:23.680	35920	N	1	0	
02:24.248	36062	|	1	0	
02:25.276	36319	|	1	0	
02:27.140	36785	N	1	0	
02:27.984	36996	N	1	0	
02:28.852	37213	N	1	0	
02:29.700	37425	N	1	0	
02:30.568	37642	N	1	0	
02:31.384	37846	N	1	0	
02:32.260	38065	|	1	0	
02:33.076	38269	N	1	0	
02:33.452	38363	N	1	0	
02:33.920	38480	N	1	0	
02:34.752	38688	N	1	0	
02:35.504	38876	|	1	0	
02:36.468	39117	N	1	0	
02:37.320	39330	N	1	0	
02:38.176	39544	N	1	0	
02:38.396	39599	N	1	0	
02:39.032	39758	N	1	0	
02:39.332	39833	N	1	0	
02:39.884	39971	N	1	0	
02:40.736	40184	N	1	0	
02:41.596	40399	N	1	0	
02:42.488	40622	N	1	0	
02:43.420	40855	N	1	0	
02:44.328	41082	N	1	0	
02:44.896	41224	N	1	0	
02:45.228	41307	N	1	0	
02:45.700	41425	N	1	0	
02:46.084	41521	|	1	0	
02:46.944	41736	N	1	0	
02:47.800	41950	N	1	0	
02:48.452	42113	|	1	0	
02:49.516	42379	N	1	0	
02:50.380	42595	N	1	0	
02:51.228	42807	N	1	0	
02:51.776	42944	N	1	0	
02:52.096	43024	N	1	0	
02:52.336	43084	N	1	0	
02:52.572	43143	|	1	0	
02:53.816	43454	|	1	0	
02:55.492	43873	|	1	0	
02:56.368	44092	N	1	0	
02:57.296	44324	N	1	0	
02:58.248	44562	N	1	0	
02:58.892	44723	|	1	0	
03:01.832	45458	N	1	0	
03:02.708	45677	N	1	0	
03:03.548	45887	N	1	0	
03:04.392	46098	N	1	0	
03:05.104	46276	N	1	0	
03:05.356	46339	|	1	0	
03:06.776	46694	|	1	0	
03:07.756	46939	N	1	0	
03:08.476	47119	N	1	0	
03:08.856	47214	|	1	0	
03:09.484	47371	N	1	0	
03:09.932	47483	|	1	0	
03:11.768	47942	N	1	0	
03:12.108	48027	N	1	0	
03:13.012	48253	N	1	0	
03:13.256	48314	|	1	0	
03:14.544	48636	N	1	0	
03:15.464	48866	N	1	0	
03:15.916	48979	N	1	0	
03:16.372	49093	N	1	0	
03:17.088	49272	N	1	0	
03:17.440	49360	N	1	0	
03:17.656	49414	N	1	0	
03:18.152	49538	N	1	0	
03:19.028	49757	|	1	0	
03:20.692	50173	N	1	0	
03:21.004	50251	N	1	0	
03:21.272	50318	|	1	0	
03:22.112	50528	|	1	0	
03:22.928	50732	|	1	0	
03:23.848	50962	|	1	0	
03:24.256	51064	|	1	0	
03:24.756	51189	|	1	0	
03:25.132	51283	|	1	0	
03:25.608	51402	|	1	0	
03:26.200	51550	N	1	0	
03:26.708	51677	|	1	0	
03:28.060	52015	N	1	0	
03:28.400	52100	N	1	0	
03:28.616	52154	N	1	0	
03:29.080	52270	|	1	0	
03:29.536	52384	|	1	0	
03:29.964	52491	|	1	0	
03:31.364	52841	|	1	0	
03:31.924	52981	N	1	0	
03:32.304	53076	|	1	0	
03:32.752	53188	|	1	0	
03:33.216	53304	|	1	0	
03:34.168	53542	N	1	0	
03:34.976	53744	N	1	0	
03:35.792	53948	N	1	0	
03:36.624	54156	N	1	0	
03:37.440	54360	N	1	0	
03:38.252	54563	N	1	0	
03:39.092	54773	N	1	0	
03:39.916	54979	N	1	0	
03:40.716	55179	N	1	0	
03:41.528	55382	N	1	0	
03:42.356	55589	N	1	0	
03:43.160	55790	N	1	0	
03:43.976	55994	N	1	0	
03:44.800	56200	N	1	0	
03:45.608	56402	N	1	0	
03:46.432	56608	N	1	0	
03:47.244	56811	N	1	0	
03:48.068	57017	N	1	0	
03:48.888	57222	N	1	0	
03:49.716	57429	N	1	0	
03:50.552	57638	N	1	0	
03:51.388	57847	N	1	0	
03:52.248	58062	N	1	0	
03:53.028	58257	N	1	0	
03:53.932	58483	N	1	0	
03:54.752	58688	N	1	0	
03:55.592	58898	N	1	0	
03:56.332	59083	N	1	0	
03:57.248	59312	N	1	0	
03:58.052	59513	N	1	0	
03:58.852	59713	N	1	0	
03:59.640	59910	N	1	0	
04:00.420	60105	N	1	0	
04:01.184	60296	N	1	0	
04:01.944	60486	N	1	0	
04:02.692	60673	N	1	0	
04:03.396	60849	N	1	0	
04:04.212	61053	N	1	0	
04:04.984	61246	N	1	0	
04:05.752	61438	N	1	0	
04:06.516	61629	N	1	0	
04:07.272	61818	N	1	0	
04:08.048	62012	N	1	0	
04:08.824	62206	N	1	0	
04:09.592	62398	N	1	0	
04:10.384	62596	N	1	0	
04:11.184	62796	N	1	0	
04:11.956	62989	N	1	0	
04:12.488	63122	|	1	0	
04:13.508	63377	N	1	0	
04:14.224	63556	N	1	0	
04:15.020	63755	N	1	0	
04:15.644	63911	N	1	0	
04:16.540	64135	N	1	0	
04:17.304	64326	N	1	0	
04:17.688	64422	N	1	0	
04:18.072	64518	N	1	0	
04:18.848	64712	N	1	0	
04:19.628	64907	N	1	0	
04:20.420	65105	N	1	0	
04:21.192	65298	N	1	0	
04:21.984	65496	N	1	0	
04:22.648	65662	N	1	0	
04:22.980	65745	N	1	0	
04:23.536	65884	N	1	0	
04:24.308	66077	N	1	0	
04:24.580	66145	N	1	0	
04:25.076	66269	N	1	0	
04:25.852	66463	N	1	0	
04:26.552	66638	N	1	0	
04:27.428	66857	N	1	0	
04:28.212	67053	N	1	0	
04:29.000	67250	N	1	0	
04:29.796	67449	N	1	0	
04:30.576	67644	N	1	0	
04:31.348	67837	N	1	0	
04:32.124	68031	N	1	0	
04:32.880	68220	N	1	0	
04:33.596	68399	N	1	0	
04:34.384	68596	N	1	0	
04:35.132	68783	N	1	0	
04:35.872	68968	N	1	0	
04:36.628	69157	N	1	0	
04:37.372	69343	N	1	0	
04:38.124	69531	N	1	0	
04:38.876	69719	N	1	0	
04:39.632	69908	N	1	0	
04:40.392	70098	N	1	0	
04:40.668	70167	N	1	0	
04:41.156	70289	N	1	0	
04:41.900	70475	N	1	0	
04:42.660	70665	N	1	0	
04:43.416	70854	N	1	0	
04:44.176	71044	N	1	0	
04:44.924	71231	N	1	0	
04:45.684	71421	N	1	0	
04:46.440	71610	N	1	0	
04:47.204	71801	N	1	0	
04:47.948	71987	N	1	0	
04:48.708	72177	N	1	0	
04:49.472	72368	N	1	0	
04:50.248	72562	N	1	0	
04:50.996	72749	N	1	0	
04:51.756	72939	N	1	0	
04:52.500	73125	N	1	0	
04:53.236	73309	N	1	0	
04:53.972	73493	N	1	0	
04:54.696	73674	N	1	0	
04:55.416	73854	N	1	0	
04:56.128	74032	N	1	0	
04:56.848	74212	N	1	0	
04:57.568	74392	N	1	0	
04:58.276	74569	N	1	0	
04:58.980	74745	N	1	0	
04:59.268	74817	N	1	0	
05:00.320	75080	N	1	0	
05:01.028	75257	N	1	0	
05:01.728	75432	N	1	0	
05:02.420	75605	N	1	0	
05:03.120	75780	N	1	0	
05:03.824	75956	N	1	0	
05:04.536	76134	N	1	0	
05:05.248	76312	N	1	0	
05:05.968	76492	N	1	0	
05:06.700	76675	N	1	0	
05:07.432	76858	N	1	0	
05:08.144	77036	N	1	0	
05:08.856	77214	N	1	0	
05:09.580	77395	N	1	0	
05:10.300	77575	N	1	0	
05:11.020	77755	N	1	0	
05:11.740	77935	N	1	0	
05:12.452	78113	N	1	0	
05:13.176	78294	N	1	0	
05:13.904	78476	N	1	0	
05:14.628	78657	N	1	0	
05:15.360	78840	N	1	0	
05:16.100	79025	N	1	0	
05:16.840	79210	N	1	0	
05:17.580	79395	N	1	0	
05:18.304	79576	N	1	0	
05:19.044	79761	N	1	0	
05:19.784	79946	N	1	0	
05:20.520	80130	N	1	0	
05:21.272	80318	N	1	0	
05:22.048	80512	N	1	0	
05:22.808	80702	N	1	0	
05:23.584	80896	N	1	0	
05:24.368	81092	N	1	0	
05:25.132	81283	N	1	0	
05:25.888	81472	N	1	0	
05:26.648	81662	N	1	0	
05:27.396	81849	N	1	0	
05:28.120	82030	N	1	0	
05:28.844	82211	N	1	0	
05:29.564	82391	N	1	0	
05:30.284	82571	N	1	0	
05:31.000	82750	N	1	0	
05:31.704	82926	N	1	0	
05:32.416	83104	N	1	0	
05:33.124	83281	N	1	0	
05:33.840	83460	N	1	0	
05:34.556	83639	N	1	0	
05:35.252	83813	N	1	0	
05:35.956	83989	N	1	0	
05:36.664	84166	N	1	0	
05:37.368	84342	N	1	0	
05:38.076	84519	N	1	0	
05:38.772	84693	N	1	0	
05:39.468	84867	N	1	0	
05:40.168	85042	N	1	0	
05:40.860	85215	N	1	0	
05:41.572	85393	N	1	0	
05:42.284	85571	N	1	0	
05:43.016	85754	N	1	0	
05:43.740	85935	N	1	0	
05:44.464	86116	N	1	0	
05:45.172	86293	N	1	0	
05:45.876	86469	N	1	0	
05:46.588	86647	N	1	0	
05:47.288	86822	N	1	0	
05:47.988	86997	N	1	0	
05:48.688	87172	N	1	0	
05:49.400	87350	N	1	0	
05:50.100	87525	N	1	0	
05:50.808	87702	N	1	0	
05:51.516	87879	N	1	0	
05:52.236	88059	N	1	0	
05:52.996	88249	N	1	0	
05:53.740	88435	N	1	0	
05:54.460	88615	N	1	0	
05:55.192	88798	N	1	0	
05:55.920	88980	N	1	0	
05:56.648	89162	N	1	0	
05:57.368	89342	N	1	0	
05:58.092	89523	N	1	0	
