Time	Sample	Type	chan	num	Aux
00:01.168	292	N	1	0	
00:02.392	598	N	1	0	
00:03.612	903	N	1	0	
00:04.828	1207	N	1	0	
00:05.960	1490	N	1	0	
00:07.132	1783	N	1	0	
00:08.212	2053	N	1	0	
00:09.324	2331	N	1	0	
00:10.404	2601	N	1	0	
00:11.492	2873	N	1	0	
00:12.584	3146	N	1	0	
00:13.592	3398	N	1	0	
00:14.552	3638	N	1	0	
00:15.552	3888	N	1	0	
00:16.480	4120	N	1	0	
00:17.448	4362	N	1	0	
00:18.436	4609	N	1	0	
00:19.420	4855	N	1	0	
00:20.412	5103	N	1	0	
00:21.436	5359	N	1	0	
00:22.500	5625	N	1	0	
00:23.556	5889	N	1	0	
00:24.628	6157	N	1	0	
00:25.688	6422	N	1	0	
00:26.756	6689	N	1	0	
00:27.836	6959	N	1	0	
00:28.904	7226	N	1	0	
00:29.996	7499	N	1	0	
00:31.080	7770	N	1	0	
00:32.168	8042	N	1	0	
00:33.216	8304	N	1	0	
00:34.300	8575	N	1	0	
00:35.364	8841	N	1	0	
00:36.428	9107	N	1	0	
00:37.544	9386	N	1	0	
00:38.636	9659	N	1	0	
00:39.704	9926	N	1	0	
00:40.728	10182	N	1	0	
00:41.764	10441	N	1	0	
00:42.808	10702	N	1	0	
00:43.840	10960	N	1	0	
00:44.880	11220	N	1	0	
00:45.944	11486	N	1	0	
00:46.940	11735	N	1	0	
00:48.008	12002	N	1	0	
00:49.080	12270	N	1	0	
00:50.132	12533	N	1	0	
00:50.836	12709	|	1	0	
00:52.196	13049	N	1	0	
00:53.152	13288	N	1	0	
00:54.120	13530	N	1	0	
00:55.084	13771	N	1	0	
00:56.020	14005	N	1	0	
00:57.004	14251	N	1	0	
00:58.004	14501	N	1	0	
00:58.976	14744	N	1	0	
00:59.976	14994	N	1	0	
01:01.008	15252	N	1	0	
01:01.996	15499	N	1	0	
01:02.980	15745	N	1	0	
01:03.972	15993	N	1	0	
01:04.960	16240	N	1	0	
01:05.968	16492	N	1	0	
01:06.980	16745	N	1	0	
01:07.964	16991	N	1	0	
01:08.956	17239	N	1	0	
01:09.980	17495	N	1	0	
01:11.052	17763	N	1	0	
01:12.064	18016	N	1	0	
01:13.124	18281	N	1	0	
01:14.176	18544	N	1	0	
01:15.236	18809	N	1	0	
01:16.292	19073	N	1	0	
01:17.408	19352	N	1	0	
01:18.540	19635	N	1	0	
01:19.680	19920	N	1	0	
01:20.816	20204	N	1	0	
01:21.984	20496	N	1	0	
01:23.148	20787	N	1	0	
01:24.312	21078	N	1	0	
01:25.492	21373	N	1	0	
01:26.608	21652	N	1	0	
01:27.752	21938	N	1	0	
01:28.920	22230	N	1	0	
01:29.992	22498	N	1	0	
01:31.140	22785	N	1	0	
01:32.236	23059	N	1	0	
01:33.348	23337	N	1	0	
01:34.504	23626	N	1	0	
01:35.588	23897	N	1	0	
01:36.748	24187	N	1	0	
01:37.968	24492	N	1	0	
01:39.172	24793	N	1	0	
01:40.332	25083	N	1	0	
01:41.492	25373	N	1	0	
01:42.684	25671	N	1	0	
01:43.864	25966	N	1	0	
01:45.044	26261	N	1	0	
01:46.176	26544	N	1	0	
01:47.348	26837	N	1	0	
01:48.532	27133	N	1	0	
01:49.720	27430	N	1	0	
01:50.896	27724	N	1	0	
01:52.068	28017	N	1	0	
01:53.220	28305	N	1	0	
01:54.416	28604	N	1	0	
01:55.600	28900	N	1	0	
