Time	Sample	Type	chan	num	Aux
00:00.816	204	N	1	0	
00:01.672	418	N	1	0	
00:02.532	633	N	1	0	
00:02.824	706	N	1	0	
00:03.436	859	N	1	0	
00:05.164	1291	N	1	0	
00:06.036	1509	N	1	0	
00:06.880	1720	N	1	0	
00:07.736	1934	|	1	0	
00:08.572	2143	N	1	0	
00:08.960	2240	N	1	0	
00:09.420	2355	N	1	0	
00:09.972	2493	|	1	0	
00:11.380	2845	N	1	0	
00:14.388	3597	N	1	0	
00:15.212	3803	N	1	0	
00:15.668	3917	N	1	0	
00:16.064	4016	|	1	0	
00:34.944	8736	N	1	0	
00:36.776	9194	N	1	0	
00:37.288	9322	N	1	0	
00:37.632	9408	N	1	0	
00:39.916	9979	N	1	0	
00:42.028	10507	N	1	0	
00:42.372	10593	N	1	0	
00:42.844	10711	N	1	0	
00:43.296	10824	N	1	0	
00:44.004	11001	N	1	0	
00:44.328	11082	N	1	0	
00:44.548	11137	N	1	0	
00:45.208	11302	N	1	0	
00:45.924	11481	N	1	0	
00:46.772	11693	N	1	0	
00:50.356	12589	N	1	0	
00:51.232	12808	N	1	0	
00:51.916	12979	N	1	0	
00:52.880	13220	N	1	0	
00:55.620	13905	N	1	0	
00:57.180	14295	N	1	0	
00:57.876	14469	N	1	0	
00:58.268	14567	N	1	0	
00:58.860	14715	N	1	0	
00:59.328	14832	N	1	0	
00:59.836	14959	N	1	0	
01:00.412	15103	N	1	0	
01:00.768	15192	|	1	0	
01:01.368	15342	|	1	0	
01:01.892	15473	N	1	0	
01:02.576	15644	N	1	0	
01:03.060	15765	N	1	0	
01:03.552	15888	N	1	0	
01:04.020	16005	N	1	0	
01:04.656	16164	N	1	0	
01:05.100	16275	N	1	0	
01:05.688	16422	N	1	0	
01:06.272	16568	|	1	0	
01:07.332	16833	|	1	0	
01:08.112	17028	N	1	0	
01:08.684	17171	N	1	0	
01:09.220	17305	N	1	0	
01:09.740	17435	N	1	0	
01:10.320	17580	N	1	0	
01:11.020	17755	N	1	0	
01:11.368	17842	N	1	0	
01:12.012	18003	N	1	0	
01:12.652	18163	N	1	0	
01:13.344	18336	N	1	0	
01:13.700	18425	N	1	0	
01:14.288	18572	|	1	0	
01:14.968	18742	N	1	0	
01:15.648	18912	N	1	0	
01:16.100	19025	N	1	0	
01:26.808	21702	N	1	0	
01:38.036	24509	N	1	0	
01:38.596	24649	N	1	0	
01:44.432	26108	N	1	0	
01:47.680	26920	N	1	0	
01:48.468	27117	N	1	0	
01:51.288	27822	N	1	0	
01:59.724	29931	N	1	0	
02:12.376	33094	N	1	0	
02:13.228	33307	N	1	0	
02:14.040	33510	N	1	0	
02:14.876	33719	N	1	0	
02:15.688	33922	N	1	0	
02:16.060	34015	N	1	0	
02:16.324	34081	N	1	0	
02:16.580	34145	N	1	0	
02:17.388	34347	N	1	0	
02:18.192	34548	N	1	0	
02:19.008	34752	N	1	0	
02:19.844	34961	N	1	0	
02:20.684	35171	N	1	0	
02:23.296	35824	N	1	0	
02:25.924	36481	N	1	0	
02:30.288	37572	N	1	0	
02:34.568	38642	N	1	0	
02:36.044	39011	N	1	0	
02:36.376	39094	N	1	0	
02:37.796	39449	|	1	0	
02:40.440	40110	N	1	0	
02:41.444	40361	N	1	0	
02:41.700	40425	N	1	0	
02:42.280	40570	N	1	0	
02:42.712	40678	N	1	0	
02:42.984	40746	|	1	0	
02:46.744	41686	|	1	0	
02:52.696	43174	|	1	0	
02:55.388	43847	N	1	0	
02:56.444	44111	N	1	0	
02:56.712	44178	|	1	0	
02:57.608	44402	N	1	0	
02:57.812	44453	|	1	0	
02:58.460	44615	|	1	0	
03:01.056	45264	N	1	0	
03:01.780	45445	|	1	0	
03:02.500	45625	N	1	0	
03:03.392	45848	N	1	0	
03:04.020	46005	N	1	0	
03:05.024	46256	N	1	0	
03:05.856	46464	N	1	0	
03:06.696	46674	N	1	0	
03:07.528	46882	N	1	0	
03:08.352	47088	N	1	0	
03:09.180	47295	N	1	0	
03:09.996	47499	N	1	0	
03:10.824	47706	N	1	0	
03:11.664	47916	N	1	0	
03:12.504	48126	N	1	0	
03:13.348	48337	N	1	0	
03:14.192	48548	N	1	0	
03:14.720	48680	N	1	0	
03:15.044	48761	N	1	0	
03:15.824	48956	|	1	0	
03:17.536	49384	N	1	0	
03:17.972	49493	|	1	0	
03:18.964	49741	|	1	0	
03:20.896	50224	|	1	0	
03:23.284	50821	|	1	0	
03:25.108	51277	|	1	0	
03:27.648	51912	|	1	0	
03:28.760	52190	N	1	0	
03:29.044	52261	N	1	0	
03:29.264	52316	N	1	0	
03:29.636	52409	N	1	0	
03:30.144	52536	N	1	0	
03:30.492	52623	|	1	0	
03:30.952	52738	N	1	0	
03:31.404	52851	N	1	0	
03:31.748	52937	|	1	0	
03:32.568	53142	N	1	0	
03:33.280	53320	N	1	0	
03:33.644	53411	|	1	0	
03:35.000	53750	N	1	0	
03:35.288	53822	N	1	0	
03:35.808	53952	|	1	0	
03:36.624	54156	N	1	0	
03:37.424	54356	N	1	0	
03:39.024	54756	N	1	0	
03:39.824	54956	N	1	0	
03:40.636	55159	N	1	0	
03:41.424	55356	N	1	0	
03:42.228	55557	N	1	0	
03:43.024	55756	N	1	0	
03:43.828	55957	N	1	0	
03:44.644	56161	N	1	0	
03:45.456	56364	|	1	0	
03:47.112	56778	N	1	0	
03:47.816	56954	N	1	0	
03:48.792	57198	N	1	0	
03:49.636	57409	N	1	0	
03:50.156	57539	|	1	0	
03:51.316	57829	N	1	0	
03:52.140	58035	N	1	0	
03:52.856	58214	|	1	0	
03:53.224	58306	|	1	0	
03:54.232	58558	|	1	0	
03:54.944	58736	N	1	0	
03:55.336	58834	|	1	0	
03:56.500	59125	N	1	0	
