Time	Sample	Type	chan	num	Aux
00:02.124	531	|	1	0	
00:03.076	769	|	1	0	
00:06.124	1531	|	1	0	
00:06.768	1692	N	1	0	
00:07.184	1796	|	1	0	
00:07.588	1897	|	1	0	
00:08.252	2063	N	1	0	
00:08.924	2231	N	1	0	
00:09.424	2356	N	1	0	
00:10.276	2569	|	1	0	
00:10.948	2737	N	1	0	
00:11.616	2904	N	1	0	
00:12.280	3070	N	1	0	
00:12.940	3235	N	1	0	
00:13.596	3399	N	1	0	
00:13.964	3491	|	1	0	
00:14.892	3723	N	1	0	
00:15.540	3885	N	1	0	
00:16.188	4047	N	1	0	
00:16.840	4210	N	1	0	
00:17.504	4376	N	1	0	
00:18.184	4546	N	1	0	
00:18.860	4715	N	1	0	
00:19.548	4887	N	1	0	
00:20.232	5058	N	1	0	
00:20.916	5229	N	1	0	
00:21.588	5397	N	1	0	
00:22.248	5562	N	1	0	
00:22.904	5726	N	1	0	
00:23.560	5890	N	1	0	
00:24.208	6052	N	1	0	
00:24.860	6215	N	1	0	
00:25.520	6380	N	1	0	
00:25.740	6435	N	1	0	
00:26.168	6542	N	1	0	
00:26.824	6706	N	1	0	
00:27.480	6870	N	1	0	
00:28.144	7036	N	1	0	
00:28.580	7145	|	1	0	
00:29.472	7368	N	1	0	
00:30.152	7538	N	1	0	
00:30.832	7708	N	1	0	
00:31.528	7882	N	1	0	
00:32.232	8058	N	1	0	
00:32.944	8236	|	1	0	
00:33.664	8416	N	1	0	
00:34.384	8596	N	1	0	
00:35.104	8776	N	1	0	
00:35.320	8830	N	1	0	
00:35.812	8953	N	1	0	
00:36.512	9128	N	1	0	
00:36.788	9197	N	1	0	
00:37.124	9281	|	1	0	
00:37.888	9472	|	1	0	
00:39.240	9810	N	1	0	
00:39.904	9976	N	1	0	
00:40.124	10031	|	1	0	
00:41.216	10304	N	1	0	
00:41.812	10453	N	1	0	
00:42.512	10628	N	1	0	
00:42.896	10724	N	1	0	
00:43.772	10943	N	1	0	
00:44.152	11038	N	1	0	
00:44.400	11100	N	1	0	
00:45.028	11257	|	1	0	
00:46.084	11521	N	1	0	
00:46.532	11633	N	1	0	
00:46.888	11722	N	1	0	
00:47.508	11877	N	1	0	
00:48.132	12033	N	1	0	
00:48.372	12093	N	1	0	
00:48.752	12188	N	1	0	
00:48.952	12238	N	1	0	
00:49.372	12343	N	1	0	
00:49.992	12498	N	1	0	
00:50.616	12654	N	1	0	
00:51.248	12812	N	1	0	
