Time	Sample	Type	chan	num	Aux
00:00.596	149	|	1	0	
00:01.512	378	N	1	0	
00:01.928	482	|	1	0	
00:02.508	627	N	1	0	
00:02.964	741	|	1	0	
00:03.652	913	N	1	0	
00:04.356	1089	N	1	0	
00:04.616	1154	N	1	0	
00:04.844	1211	N	1	0	
00:05.544	1386	N	1	0	
00:06.000	1500	N	1	0	
00:06.500	1625	N	1	0	
00:06.732	1683	|	1	0	
00:07.468	1867	N	1	0	
00:07.720	1930	N	1	0	
00:08.080	2020	|	1	0	
00:09.144	2286	N	1	0	
00:09.360	2340	|	1	0	
00:11.092	2773	N	1	0	
00:11.500	2875	|	1	0	
00:13.404	3351	N	1	0	
00:14.092	3523	N	1	0	
00:14.580	3645	N	1	0	
00:14.864	3716	|	1	0	
00:17.264	4316	N	1	0	
00:17.888	4472	N	1	0	
00:18.464	4616	N	1	0	
00:18.724	4681	|	1	0	
00:20.164	5041	N	1	0	
00:20.608	5152	|	1	0	
00:21.296	5324	N	1	0	
00:21.768	5442	N	1	0	
00:22.580	5645	N	1	0	
00:23.056	5764	N	1	0	
00:23.344	5836	|	1	0	
00:24.324	6081	N	1	0	
00:24.776	6194	N	1	0	
00:25.500	6375	N	1	0	
00:25.760	6440	|	1	0	
00:26.200	6550	N	1	0	
00:26.852	6713	N	1	0	
00:27.492	6873	N	1	0	
00:28.072	7018	N	1	0	
00:28.640	7160	N	1	0	
00:29.208	7302	N	1	0	
00:29.780	7445	N	1	0	
00:30.352	7588	N	1	0	
00:31.076	7769	N	1	0	
00:31.544	7886	N	1	0	
00:32.096	8024	N	1	0	
00:32.660	8165	N	1	0	
00:33.232	8308	N	1	0	
00:33.812	8453	N	1	0	
00:34.124	8531	N	1	0	
00:34.560	8640	N	1	0	
00:35.252	8813	N	1	0	
00:35.928	8982	N	1	0	
00:36.600	9150	N	1	0	
00:37.220	9305	N	1	0	
00:37.808	9452	N	1	0	
00:38.396	9599	N	1	0	
00:38.976	9744	N	1	0	
00:39.724	9931	N	1	0	
00:40.184	10046	N	1	0	
00:40.928	10232	N	1	0	
00:41.640	10410	N	1	0	
00:42.324	10581	N	1	0	
00:43.004	10751	N	1	0	
00:43.572	10893	N	1	0	
00:44.148	11037	N	1	0	
00:44.724	11181	N	1	0	
00:45.476	11369	N	1	0	
00:46.180	11545	N	1	0	
00:46.860	11715	N	1	0	
00:47.520	11880	N	1	0	
00:48.184	12046	N	1	0	
00:48.756	12189	N	1	0	
00:49.336	12334	N	1	0	
00:50.084	12521	N	1	0	
00:50.768	12692	N	1	0	
00:51.436	12859	N	1	0	
00:52.092	13023	N	1	0	
00:52.732	13183	N	1	0	
00:53.324	13331	N	1	0	
00:54.044	13511	N	1	0	
00:54.536	13634	N	1	0	
00:55.276	13819	N	1	0	
00:55.964	13991	N	1	0	
00:56.624	14156	N	1	0	
00:57.284	14321	N	1	0	
00:57.908	14477	N	1	0	
00:58.496	14624	N	1	0	
00:59.228	14807	N	1	0	
00:59.704	14926	N	1	0	
01:00.444	15111	N	1	0	
01:01.152	15288	N	1	0	
01:01.816	15454	N	1	0	
01:02.476	15619	N	1	0	
01:03.076	15769	N	1	0	
01:03.660	15915	N	1	0	
01:04.396	16099	N	1	0	
01:04.868	16217	N	1	0	
01:05.604	16401	N	1	0	
01:06.308	16577	N	1	0	
01:06.996	16749	N	1	0	
01:07.668	16917	N	1	0	
01:08.268	17067	N	1	0	
01:08.856	17214	N	1	0	
01:09.588	17397	N	1	0	
01:10.068	17517	N	1	0	
01:10.804	17701	N	1	0	
01:11.516	17879	N	1	0	
01:12.212	18053	N	1	0	
01:12.896	18224	N	1	0	
01:13.476	18369	N	1	0	
01:14.064	18516	N	1	0	
01:14.640	18660	N	1	0	
01:15.376	18844	N	1	0	
01:15.852	18963	N	1	0	
01:16.576	19144	N	1	0	
01:17.280	19320	N	1	0	
01:17.980	19495	N	1	0	
01:18.668	19667	N	1	0	
01:19.232	19808	N	1	0	
01:19.804	19951	N	1	0	
01:20.540	20135	N	1	0	
01:21.008	20252	N	1	0	
01:21.556	20389	N	1	0	
01:22.124	20531	N	1	0	
01:22.692	20673	N	1	0	
01:23.440	20860	N	1	0	
01:24.152	21038	N	1	0	
01:24.844	21211	N	1	0	
01:25.444	21361	N	1	0	
01:26.176	21544	N	1	0	
01:26.668	21667	N	1	0	
01:27.412	21853	N	1	0	
01:28.124	22031	N	1	0	
01:28.824	22206	N	1	0	
01:29.524	22381	N	1	0	
01:30.104	22526	N	1	0	
01:30.860	22715	N	1	0	
01:31.344	22836	N	1	0	
01:32.112	23028	N	1	0	
01:32.844	23211	N	1	0	
01:33.548	23387	N	1	0	
01:34.244	23561	N	1	0	
01:34.832	23708	N	1	0	
01:35.428	23857	N	1	0	
01:36.024	24006	N	1	0	
01:36.796	24199	N	1	0	
01:37.268	24317	N	1	0	
01:38.032	24508	N	1	0	
01:38.560	24640	|	1	0	
01:39.236	24809	|	1	0	
01:45.660	26415	N	1	0	
01:46.348	26587	N	1	0	
01:46.868	26717	N	1	0	
01:47.108	26777	N	1	0	
01:47.432	26858	N	1	0	
01:47.816	26954	N	1	0	
01:48.388	27097	|	1	0	
01:52.424	28106	|	1	0	
01:53.708	28427	|	1	0	
01:56.444	29111	|	1	0	
02:03.296	30824	|	1	0	
02:08.636	32159	|	1	0	
02:09.836	32459	N	1	0	
02:10.104	32526	|	1	0	
02:11.544	32886	N	1	0	
02:12.112	33028	N	1	0	
02:12.680	33170	N	1	0	
02:13.252	33313	N	1	0	
02:13.820	33455	N	1	0	
02:14.388	33597	N	1	0	
02:14.956	33739	N	1	0	
02:15.528	33882	N	1	0	
02:16.100	34025	N	1	0	
02:16.676	34169	N	1	0	
02:17.252	34313	N	1	0	
02:17.972	34493	N	1	0	
02:18.456	34614	N	1	0	
02:19.168	34792	N	1	0	
02:19.868	34967	N	1	0	
02:20.540	35135	N	1	0	
02:21.212	35303	N	1	0	
02:21.792	35448	N	1	0	
02:22.360	35590	N	1	0	
02:22.920	35730	N	1	0	
02:23.480	35870	N	1	0	
02:24.036	36009	N	1	0	
02:24.752	36188	N	1	0	
02:25.232	36308	N	1	0	
02:25.948	36487	N	1	0	
02:26.436	36609	N	1	0	
02:27.156	36789	N	1	0	
02:27.612	36903	N	1	0	
02:28.336	37084	N	1	0	
02:29.044	37261	N	1	0	
02:29.728	37432	N	1	0	
02:30.408	37602	N	1	0	
02:30.992	37748	N	1	0	
02:31.724	37931	N	1	0	
02:32.220	38055	N	1	0	
02:32.940	38235	N	1	0	
02:33.588	38397	N	1	0	
02:34.248	38562	N	1	0	
02:34.872	38718	N	1	0	
02:35.600	38900	N	1	0	
02:36.128	39032	N	1	0	
02:36.864	39216	N	1	0	
02:37.364	39341	N	1	0	
02:38.104	39526	N	1	0	
02:38.820	39705	N	1	0	
02:39.524	39881	N	1	0	
02:40.212	40053	N	1	0	
02:40.768	40192	N	1	0	
02:41.512	40378	N	1	0	
02:41.956	40489	N	1	0	
02:42.692	40673	N	1	0	
02:43.404	40851	N	1	0	
02:44.112	41028	N	1	0	
02:44.808	41202	N	1	0	
02:45.392	41348	N	1	0	
02:46.160	41540	N	1	0	
02:46.636	41659	N	1	0	
02:47.392	41848	N	1	0	
02:48.116	42029	N	1	0	
02:48.812	42203	N	1	0	
02:49.436	42359	N	1	0	
02:50.036	42509	N	1	0	
02:50.792	42698	N	1	0	
02:51.284	42821	N	1	0	
02:52.032	43008	N	1	0	
02:52.764	43191	N	1	0	
02:53.472	43368	N	1	0	
02:54.112	43528	N	1	0	
02:54.828	43707	N	1	0	
02:55.352	43838	N	1	0	
02:56.100	44025	N	1	0	
02:56.824	44206	N	1	0	
02:57.532	44383	N	1	0	
02:58.196	44549	N	1	0	
02:58.904	44726	N	1	0	
02:59.440	44860	N	1	0	
03:00.200	45050	N	1	0	
03:00.936	45234	N	1	0	
03:01.636	45409	N	1	0	
03:02.324	45581	N	1	0	
03:03.012	45753	N	1	0	
03:03.568	45892	N	1	0	
03:04.344	46086	N	1	0	
03:05.068	46267	N	1	0	
03:05.768	46442	N	1	0	
03:06.464	46616	N	1	0	
03:07.080	46770	N	1	0	
03:07.684	46921	N	1	0	
03:08.284	47071	N	1	0	
03:08.880	47220	N	1	0	
03:09.656	47414	N	1	0	
03:10.368	47592	N	1	0	
03:11.056	47764	N	1	0	
03:11.732	47933	N	1	0	
03:12.332	48083	N	1	0	
03:12.920	48230	N	1	0	
03:13.504	48376	N	1	0	
03:14.084	48521	N	1	0	
03:14.672	48668	N	1	0	
03:15.112	48778	N	1	0	
03:15.836	48959	N	1	0	
03:16.432	49108	N	1	0	
03:16.848	49212	N	1	0	
03:17.592	49398	N	1	0	
03:18.176	49544	N	1	0	
03:18.756	49689	N	1	0	
03:19.328	49832	N	1	0	
03:20.076	50019	N	1	0	
03:20.780	50195	N	1	0	
03:21.384	50346	N	1	0	
03:22.140	50535	N	1	0	
03:22.712	50678	N	1	0	
03:23.444	50861	N	1	0	
03:23.908	50977	N	1	0	
03:24.640	51160	N	1	0	
03:25.348	51337	N	1	0	
03:26.016	51504	N	1	0	
03:26.672	51668	N	1	0	
03:27.240	51810	N	1	0	
03:27.808	51952	N	1	0	
03:28.540	52135	N	1	0	
03:28.988	52247	N	1	0	
03:29.704	52426	N	1	0	
03:30.404	52601	N	1	0	
03:31.044	52761	N	1	0	
03:31.528	52882	N	1	0	
03:32.320	53080	N	1	0	
03:32.852	53213	N	1	0	
03:33.556	53389	N	1	0	
03:34.220	53555	N	1	0	
03:34.852	53713	N	1	0	
03:35.352	53838	N	1	0	
03:36.112	54028	N	1	0	
03:36.720	54180	N	1	0	
03:37.268	54317	N	1	0	
03:37.816	54454	N	1	0	
03:38.524	54631	N	1	0	
03:39.172	54793	N	1	0	
03:39.776	54944	N	1	0	
03:40.368	55092	N	1	0	
03:40.952	55238	N	1	0	
03:41.544	55386	N	1	0	
03:42.068	55517	N	1	0	
03:42.680	55670	N	1	0	
03:43.288	55822	N	1	0	
03:43.784	55946	N	1	0	
03:44.312	56078	N	1	0	
03:44.844	56211	N	1	0	
03:45.508	56377	N	1	0	
03:46.136	56534	N	1	0	
03:46.720	56680	N	1	0	
03:47.292	56823	N	1	0	
03:47.868	56967	N	1	0	
03:48.444	57111	N	1	0	
03:49.012	57253	N	1	0	
03:49.580	57395	N	1	0	
03:50.152	57538	N	1	0	
03:50.696	57674	N	1	0	
03:51.232	57808	N	1	0	
03:51.772	57943	N	1	0	
03:52.312	58078	N	1	0	
03:52.844	58211	N	1	0	
03:53.380	58345	N	1	0	
03:53.916	58479	N	1	0	
03:54.456	58614	N	1	0	
03:54.988	58747	N	1	0	
03:55.524	58881	N	1	0	
03:56.060	59015	N	1	0	
03:56.596	59149	N	1	0	
03:57.132	59283	N	1	0	
03:57.760	59440	N	1	0	
03:58.232	59558	N	1	0	
03:58.748	59687	N	1	0	
03:59.276	59819	N	1	0	
03:59.808	59952	N	1	0	
04:00.344	60086	N	1	0	
04:00.872	60218	N	1	0	
04:01.400	60350	N	1	0	
04:01.936	60484	N	1	0	
04:02.472	60618	N	1	0	
04:03.000	60750	N	1	0	
04:03.528	60882	N	1	0	
04:04.060	61015	N	1	0	
04:04.588	61147	N	1	0	
04:05.028	61257	N	1	0	
04:05.656	61414	N	1	0	
04:06.196	61549	N	1	0	
04:06.596	61649	N	1	0	
04:07.304	61826	N	1	0	
04:07.816	61954	N	1	0	
04:08.432	62108	N	1	0	
04:08.900	62225	|	1	0	
04:09.404	62351	N	1	0	
04:09.780	62445	N	1	0	
04:10.464	62616	N	1	0	
04:11.080	62770	N	1	0	
04:11.652	62913	N	1	0	
04:12.220	63055	N	1	0	
04:12.488	63122	N	1	0	
04:12.780	63195	N	1	0	
04:13.256	63314	N	1	0	
04:13.892	63473	N	1	0	
04:14.448	63612	N	1	0	
04:15.004	63751	N	1	0	
04:15.564	63891	N	1	0	
04:16.124	64031	N	1	0	
04:16.688	64172	N	1	0	
04:16.896	64224	N	1	0	
04:17.240	64310	N	1	0	
04:17.792	64448	N	1	0	
04:18.340	64585	N	1	0	
04:18.900	64725	N	1	0	
04:19.412	64853	N	1	0	
04:19.932	64983	N	1	0	
04:20.460	65115	N	1	0	
04:20.988	65247	N	1	0	
04:21.528	65382	N	1	0	
04:22.064	65516	N	1	0	
04:22.604	65651	N	1	0	
04:23.148	65787	N	1	0	
04:23.688	65922	N	1	0	
04:24.228	66057	N	1	0	
04:24.768	66192	N	1	0	
04:25.312	66328	N	1	0	
04:25.852	66463	N	1	0	
04:26.388	66597	N	1	0	
04:26.928	66732	N	1	0	
04:27.472	66868	N	1	0	
04:28.012	67003	N	1	0	
04:28.552	67138	N	1	0	
04:29.100	67275	N	1	0	
04:29.640	67410	N	1	0	
04:30.176	67544	N	1	0	
04:30.720	67680	N	1	0	
04:31.260	67815	N	1	0	
04:31.796	67949	N	1	0	
04:32.340	68085	N	1	0	
04:32.884	68221	N	1	0	
04:33.424	68356	N	1	0	
04:33.960	68490	N	1	0	
04:34.392	68598	N	1	0	
04:35.044	68761	N	1	0	
04:35.584	68896	N	1	0	
04:36.128	69032	N	1	0	
04:36.580	69145	N	1	0	
04:37.224	69306	N	1	0	
04:37.764	69441	N	1	0	
04:38.312	69578	N	1	0	
04:38.864	69716	N	1	0	
04:39.412	69853	N	1	0	
04:39.952	69988	N	1	0	
04:40.504	70126	N	1	0	
04:41.056	70264	N	1	0	
04:41.604	70401	N	1	0	
04:42.148	70537	N	1	0	
04:42.700	70675	N	1	0	
04:43.248	70812	N	1	0	
04:43.800	70950	N	1	0	
04:44.348	71087	N	1	0	
04:44.900	71225	N	1	0	
04:45.456	71364	N	1	0	
04:46.012	71503	N	1	0	
04:46.560	71640	N	1	0	
04:47.108	71777	N	1	0	
04:47.668	71917	N	1	0	
04:48.220	72055	N	1	0	
04:48.776	72194	N	1	0	
04:49.324	72331	N	1	0	
04:49.872	72468	N	1	0	
04:50.424	72606	N	1	0	
04:50.972	72743	N	1	0	
04:51.520	72880	N	1	0	
04:52.060	73015	N	1	0	
04:52.608	73152	N	1	0	
04:53.156	73289	N	1	0	
04:53.604	73401	N	1	0	
04:54.244	73561	N	1	0	
04:54.852	73713	N	1	0	
04:55.352	73838	N	1	0	
04:55.880	73970	N	1	0	
04:56.408	74102	N	1	0	
04:56.948	74237	N	1	0	
04:57.488	74372	N	1	0	
04:58.032	74508	N	1	0	
04:58.568	74642	N	1	0	
04:59.108	74777	N	1	0	
04:59.652	74913	N	1	0	
05:00.192	75048	N	1	0	
05:00.728	75182	N	1	0	
05:01.268	75317	N	1	0	
05:01.756	75439	N	1	0	
05:02.356	75589	N	1	0	
05:02.892	75723	N	1	0	
05:03.432	75858	N	1	0	
05:03.972	75993	N	1	0	
05:04.508	76127	N	1	0	
05:05.040	76260	N	1	0	
05:05.576	76394	N	1	0	
05:06.108	76527	N	1	0	
05:06.636	76659	N	1	0	
05:07.168	76792	N	1	0	
05:07.704	76926	N	1	0	
05:08.232	77058	N	1	0	
05:08.764	77191	N	1	0	
05:09.296	77324	N	1	0	
05:09.828	77457	N	1	0	
05:10.352	77588	N	1	0	
05:10.708	77677	N	1	0	
05:11.412	77853	N	1	0	
05:11.936	77984	N	1	0	
05:12.468	78117	N	1	0	
05:12.996	78249	N	1	0	
05:13.520	78380	N	1	0	
05:14.048	78512	N	1	0	
05:14.576	78644	N	1	0	
05:15.108	78777	N	1	0	
