Time	Sample	Type	chan	num	Aux
00:00.032	8	N	1	0	
00:00.316	79	|	1	0	
00:01.532	383	N	1	0	
00:02.000	500	|	1	0	
00:03.728	932	N	1	0	
00:04.464	1116	N	1	0	
00:04.740	1185	N	1	0	
00:04.964	1241	|	1	0	
00:05.952	1488	N	1	0	
00:06.708	1677	N	1	0	
00:07.204	1801	N	1	0	
00:07.676	1919	N	1	0	
00:08.172	2043	N	1	0	
00:08.896	2224	N	1	0	
00:09.652	2413	N	1	0	
00:10.400	2600	|	1	0	
00:11.148	2787	N	1	0	
00:11.400	2850	N	1	0	
00:11.632	2908	N	1	0	
00:11.864	2966	N	1	0	
00:12.216	3054	N	1	0	
00:12.480	3120	|	1	0	
00:13.348	3337	N	1	0	
00:14.048	3512	|	1	0	
00:14.824	3706	N	1	0	
00:15.588	3897	N	1	0	
00:15.816	3954	|	1	0	
00:17.172	4293	N	1	0	
00:17.852	4463	|	1	0	
00:18.704	4676	N	1	0	
00:19.484	4871	N	1	0	
00:20.120	5030	N	1	0	
00:20.988	5247	N	1	0	
00:21.776	5444	|	1	0	
00:22.212	5553	N	1	0	
00:22.536	5634	N	1	0	
00:22.760	5690	N	1	0	
00:23.152	5788	|	1	0	
00:24.056	6014	N	1	0	
00:24.788	6197	N	1	0	
00:25.112	6278	N	1	0	
00:25.416	6354	N	1	0	
00:25.920	6480	N	1	0	
00:26.604	6651	|	1	0	
00:27.564	6891	N	1	0	
00:28.300	7075	N	1	0	
00:29.028	7257	N	1	0	
00:29.668	7417	|	1	0	
00:30.400	7600	|	1	0	
00:31.752	7938	|	1	0	
00:32.184	8046	N	1	0	
00:32.652	8163	|	1	0	
00:33.244	8311	|	1	0	
00:33.752	8438	N	1	0	
00:34.148	8537	|	1	0	
00:34.888	8722	N	1	0	
00:35.520	8880	N	1	0	
00:36.352	9088	N	1	0	
00:37.100	9275	N	1	0	
00:37.844	9461	N	1	0	
00:38.384	9596	N	1	0	
00:38.904	9726	N	1	0	
00:39.316	9829	|	1	0	
00:40.044	10011	|	1	0	
00:41.436	10359	N	1	0	
00:42.232	10558	N	1	0	
00:42.928	10732	N	1	0	
00:43.148	10787	N	1	0	
00:43.572	10893	N	1	0	
00:43.988	10997	|	1	0	
00:44.840	11210	|	1	0	
00:46.028	11507	|	1	0	
00:46.800	11700	N	1	0	
00:47.112	11778	N	1	0	
00:47.824	11956	N	1	0	
00:48.224	12056	|	1	0	
00:49.016	12254	|	1	0	
00:49.924	12481	|	1	0	
00:50.640	12660	N	1	0	
00:51.380	12845	|	1	0	
00:51.796	12949	|	1	0	
00:53.012	13253	N	1	0	
00:53.760	13440	N	1	0	
00:54.504	13626	|	1	0	
00:55.240	13810	N	1	0	
00:55.452	13863	|	1	0	
00:56.232	14058	N	1	0	
00:56.560	14140	|	1	0	
00:57.152	14288	N	1	0	
00:57.880	14470	|	1	0	
00:58.868	14717	N	1	0	
00:59.608	14902	|	1	0	
01:00.308	15077	N	1	0	
01:01.048	15262	N	1	0	
01:01.316	15329	N	1	0	
01:01.748	15437	N	1	0	
01:02.428	15607	N	1	0	
01:03.148	15787	N	1	0	
01:03.712	15928	N	1	0	
01:04.508	16127	N	1	0	
01:04.956	16239	N	1	0	
01:05.960	16490	N	1	0	
01:06.664	16666	N	1	0	
01:06.996	16749	|	1	0	
01:08.044	17011	N	1	0	
01:08.724	17181	N	1	0	
01:09.084	17271	|	1	0	
01:10.048	17512	|	1	0	
01:11.076	17769	|	1	0	
01:11.976	17994	|	1	0	
01:12.596	18149	N	1	0	
01:12.940	18235	N	1	0	
01:13.220	18305	|	1	0	
01:14.684	18671	|	1	0	
01:15.420	18855	|	1	0	
01:16.216	19054	|	1	0	
01:17.424	19356	N	1	0	
01:18.032	19508	N	1	0	
01:18.628	19657	N	1	0	
01:19.220	19805	N	1	0	
01:19.816	19954	N	1	0	
01:20.416	20104	N	1	0	
01:21.012	20253	N	1	0	
01:21.612	20403	N	1	0	
01:22.216	20554	N	1	0	
01:22.820	20705	N	1	0	
01:23.428	20857	N	1	0	
01:24.036	21009	N	1	0	
01:24.648	21162	N	1	0	
01:25.268	21317	N	1	0	
01:25.880	21470	N	1	0	
01:26.496	21624	N	1	0	
01:27.104	21776	N	1	0	
01:27.724	21931	N	1	0	
01:28.348	22087	N	1	0	
01:28.968	22242	N	1	0	
01:29.564	22391	N	1	0	
01:30.208	22552	N	1	0	
01:30.840	22710	N	1	0	
01:31.464	22866	N	1	0	
01:32.088	23022	N	1	0	
01:32.716	23179	N	1	0	
01:33.344	23336	N	1	0	
01:33.968	23492	N	1	0	
01:34.596	23649	N	1	0	
01:35.228	23807	N	1	0	
01:35.856	23964	N	1	0	
01:36.488	24122	N	1	0	
01:37.128	24282	N	1	0	
01:37.768	24442	N	1	0	
01:38.420	24605	N	1	0	
01:39.068	24767	N	1	0	
01:39.716	24929	N	1	0	
01:40.372	25093	N	1	0	
01:41.028	25257	N	1	0	
01:41.692	25423	N	1	0	
01:42.364	25591	N	1	0	
01:43.044	25761	N	1	0	
01:43.712	25928	N	1	0	
01:44.388	26097	N	1	0	
01:45.064	26266	N	1	0	
01:45.736	26434	N	1	0	
01:46.404	26601	N	1	0	
01:47.076	26769	N	1	0	
01:47.744	26936	N	1	0	
01:48.404	27101	N	1	0	
01:49.068	27267	N	1	0	
01:49.724	27431	N	1	0	
01:50.376	27594	N	1	0	
01:51.028	27757	N	1	0	
01:51.676	27919	N	1	0	
01:52.324	28081	N	1	0	
01:52.976	28244	N	1	0	
01:53.628	28407	N	1	0	
01:54.288	28572	N	1	0	
01:54.948	28737	N	1	0	
01:55.604	28901	N	1	0	
01:56.268	29067	N	1	0	
01:56.928	29232	N	1	0	
01:57.520	29380	|	1	0	
01:58.604	29651	N	1	0	
01:58.900	29725	|	1	0	
01:59.440	29860	|	1	0	
02:00.084	30021	N	1	0	
02:00.844	30211	N	1	0	
02:01.500	30375	N	1	0	
02:01.772	30443	|	1	0	
02:02.596	30649	N	1	0	
02:02.792	30698	N	1	0	
02:03.320	30830	|	1	0	
02:04.400	31100	|	1	0	
02:05.104	31276	|	1	0	
02:05.984	31496	N	1	0	
02:06.260	31565	N	1	0	
02:06.624	31656	N	1	0	
02:07.076	31769	|	1	0	
02:07.908	31977	N	1	0	
02:08.552	32138	N	1	0	
02:08.996	32249	|	1	0	
02:09.716	32429	N	1	0	
02:10.460	32615	N	1	0	
02:11.108	32777	N	1	0	
02:11.484	32871	N	1	0	
02:11.688	32922	N	1	0	
02:12.044	33011	N	1	0	
02:12.428	33107	N	1	0	
02:13.080	33270	N	1	0	
02:13.576	33394	N	1	0	
02:14.380	33595	N	1	0	
02:15.012	33753	N	1	0	
02:15.516	33879	|	1	0	
02:16.956	34239	|	1	0	
02:18.192	34548	N	1	0	
02:18.712	34678	|	1	0	
02:19.432	34858	N	1	0	
02:20.028	35007	N	1	0	
02:20.624	35156	N	1	0	
02:21.200	35300	N	1	0	
02:21.816	35454	N	1	0	
02:22.412	35603	|	1	0	
02:23.008	35752	N	1	0	
02:23.252	35813	|	1	0	
02:23.948	35987	N	1	0	
02:24.164	36041	N	1	0	
02:24.516	36129	|	1	0	
02:25.228	36307	|	1	0	
02:26.112	36528	N	1	0	
02:26.744	36686	N	1	0	
02:27.088	36772	|	1	0	
02:27.848	36962	|	1	0	
02:28.508	37127	|	1	0	
02:28.956	37239	|	1	0	
02:29.904	37476	|	1	0	
02:30.388	37597	|	1	0	
02:31.184	37796	|	1	0	
02:33.260	38315	N	1	0	
02:33.964	38491	|	1	0	
02:35.320	38830	N	1	0	
02:36.004	39001	N	1	0	
02:36.732	39183	|	1	0	
02:37.444	39361	N	1	0	
02:38.060	39515	N	1	0	
02:38.700	39675	|	1	0	
02:39.612	39903	|	1	0	
02:40.360	40090	N	1	0	
02:40.684	40171	|	1	0	
02:43.048	40762	N	1	0	
02:43.884	40971	N	1	0	
02:44.472	41118	N	1	0	
02:45.284	41321	N	1	0	
02:46.016	41504	N	1	0	
02:46.640	41660	N	1	0	
02:46.996	41749	N	1	0	
02:47.420	41855	N	1	0	
02:47.936	41984	|	1	0	
02:48.808	42202	N	1	0	
02:49.028	42257	N	1	0	
02:49.488	42372	N	1	0	
02:49.968	42492	|	1	0	
02:51.544	42886	N	1	0	
02:51.760	42940	N	1	0	
02:52.224	43056	|	1	0	
02:52.900	43225	N	1	0	
02:53.592	43398	N	1	0	
02:54.276	43569	N	1	0	
02:54.956	43739	N	1	0	
02:55.640	43910	N	1	0	
02:56.328	44082	N	1	0	
02:57.028	44257	N	1	0	
02:57.728	44432	N	1	0	
02:58.428	44607	N	1	0	
02:59.128	44782	N	1	0	
02:59.412	44853	N	1	0	
02:59.716	44929	N	1	0	
03:00.192	45048	|	1	0	
03:01.252	45313	N	1	0	
03:01.976	45494	N	1	0	
03:02.632	45658	|	1	0	
03:03.440	45860	N	1	0	
03:04.180	46045	|	1	0	
03:04.916	46229	N	1	0	
03:05.588	46397	N	1	0	
03:06.396	46599	N	1	0	
03:07.136	46784	N	1	0	
03:07.872	46968	N	1	0	
03:08.604	47151	N	1	0	
03:08.988	47247	|	1	0	
03:10.068	47517	N	1	0	
03:10.672	47668	N	1	0	
03:11.528	47882	|	1	0	
03:12.268	48067	N	1	0	
03:12.992	48248	N	1	0	
03:13.756	48439	|	1	0	
03:14.508	48627	N	1	0	
03:15.064	48766	N	1	0	
03:15.260	48815	N	1	0	
03:15.668	48917	N	1	0	
03:15.896	48974	N	1	0	
03:16.256	49064	|	1	0	
03:17.500	49375	|	1	0	
03:18.232	49558	N	1	0	
03:18.520	49630	|	1	0	
03:18.972	49743	|	1	0	
03:20.500	50125	N	1	0	
03:21.260	50315	N	1	0	
03:21.476	50369	N	1	0	
03:21.852	50463	|	1	0	
03:22.800	50700	N	1	0	
03:23.052	50763	N	1	0	
03:23.588	50897	N	1	0	
03:24.104	51026	|	1	0	
03:24.792	51198	|	1	0	
03:25.440	51360	N	1	0	
03:25.900	51475	N	1	0	
03:26.672	51668	N	1	0	
03:27.432	51858	N	1	0	
03:28.164	52041	N	1	0	
03:28.904	52226	N	1	0	
03:29.652	52413	N	1	0	
03:30.016	52504	N	1	0	
03:30.380	52595	N	1	0	
