Time	Sample	Type	chan	num	Aux
00:00.012	3	|	1	0	
00:01.196	299	|	1	0	
00:02.888	722	N	1	0	
00:03.532	883	|	1	0	
00:04.076	1019	|	1	0	
00:05.304	1326	N	1	0	
00:05.772	1443	N	1	0	
00:06.104	1526	N	1	0	
00:06.824	1706	|	1	0	
00:07.672	1918	N	1	0	
00:07.916	1979	N	1	0	
00:08.148	2037	|	1	0	
00:10.000	2500	|	1	0	
00:11.324	2831	N	1	0	
00:11.524	2881	N	1	0	
00:12.096	3024	N	1	0	
00:12.288	3072	N	1	0	
00:12.728	3182	N	1	0	
00:13.040	3260	N	1	0	
00:13.680	3420	N	1	0	
00:14.528	3632	N	1	0	
00:15.268	3817	N	1	0	
00:15.988	3997	N	1	0	
00:16.716	4179	N	1	0	
00:17.440	4360	N	1	0	
00:18.164	4541	N	1	0	
00:18.904	4726	N	1	0	
00:19.656	4914	N	1	0	
00:20.412	5103	N	1	0	
00:21.180	5295	N	1	0	
00:21.952	5488	N	1	0	
00:22.712	5678	N	1	0	
00:23.464	5866	N	1	0	
00:24.220	6055	N	1	0	
00:24.968	6242	N	1	0	
00:25.708	6427	N	1	0	
00:26.460	6615	N	1	0	
00:27.212	6803	N	1	0	
00:27.960	6990	N	1	0	
00:28.712	7178	N	1	0	
00:29.460	7365	N	1	0	
00:30.212	7553	N	1	0	
00:30.956	7739	N	1	0	
00:31.688	7922	N	1	0	
00:32.432	8108	N	1	0	
00:33.172	8293	N	1	0	
00:33.904	8476	N	1	0	
00:34.636	8659	N	1	0	
00:35.356	8839	N	1	0	
00:36.068	9017	N	1	0	
00:36.756	9189	N	1	0	
00:37.452	9363	N	1	0	
00:38.140	9535	N	1	0	
00:38.824	9706	N	1	0	
00:39.456	9864	|	1	0	
00:40.176	10044	N	1	0	
00:40.892	10223	N	1	0	
00:41.536	10384	|	1	0	
00:42.996	10749	N	1	0	
00:43.684	10921	N	1	0	
00:43.940	10985	N	1	0	
00:44.408	11102	N	1	0	
00:45.132	11283	N	1	0	
00:45.852	11463	N	1	0	
00:46.124	11531	N	1	0	
00:46.580	11645	N	1	0	
00:47.208	11802	|	1	0	
00:48.036	12009	N	1	0	
00:48.776	12194	N	1	0	
00:49.512	12378	N	1	0	
00:50.248	12562	N	1	0	
00:50.984	12746	N	1	0	
00:51.724	12931	N	1	0	
00:52.480	13120	N	1	0	
00:53.224	13306	N	1	0	
00:53.976	13494	N	1	0	
00:54.716	13679	N	1	0	
00:55.440	13860	N	1	0	
00:56.160	14040	N	1	0	
00:56.868	14217	N	1	0	
00:57.576	14394	N	1	0	
00:58.280	14570	N	1	0	
00:58.976	14744	N	1	0	
00:59.668	14917	N	1	0	
01:00.364	15091	N	1	0	
01:01.040	15260	N	1	0	
01:01.712	15428	N	1	0	
01:02.384	15596	N	1	0	
01:03.080	15770	N	1	0	
01:03.808	15952	N	1	0	
01:04.552	16138	N	1	0	
01:05.304	16326	N	1	0	
01:06.076	16519	N	1	0	
01:06.876	16719	N	1	0	
01:07.684	16921	N	1	0	
01:08.512	17128	N	1	0	
01:09.360	17340	N	1	0	
01:10.196	17549	N	1	0	
01:11.040	17760	N	1	0	
01:11.888	17972	N	1	0	
