Time	Sample	Type	chan	num	Aux
00:00.012	3	|	1	0	
00:02.844	711	N	1	0	
00:03.444	861	N	1	0	
00:04.124	1031	N	1	0	
00:04.748	1187	N	1	0	
00:05.376	1344	N	1	0	
00:05.624	1406	N	1	0	
00:06.024	1506	N	1	0	
00:06.632	1658	N	1	0	
00:07.264	1816	N	1	0	
00:07.900	1975	N	1	0	
00:08.536	2134	N	1	0	
00:09.180	2295	N	1	0	
00:09.524	2381	N	1	0	
00:10.292	2573	|	1	0	
00:11.104	2776	N	1	0	
00:11.748	2937	N	1	0	
00:12.416	3104	N	1	0	
00:12.872	3218	N	1	0	
00:13.676	3419	N	1	0	
00:14.308	3577	N	1	0	
00:14.572	3643	N	1	0	
00:14.948	3737	|	1	0	
00:15.596	3899	N	1	0	
00:16.220	4055	N	1	0	
00:16.860	4215	N	1	0	
00:17.504	4376	N	1	0	
00:18.132	4533	N	1	0	
00:18.760	4690	N	1	0	
00:19.388	4847	N	1	0	
00:19.956	4989	N	1	0	
00:20.640	5160	N	1	0	
00:21.264	5316	N	1	0	
00:21.748	5437	|	1	0	
00:22.532	5633	N	1	0	
00:23.160	5790	N	1	0	
00:23.688	5922	N	1	0	
00:24.152	6038	|	1	0	
00:25.060	6265	N	1	0	
00:25.684	6421	N	1	0	
00:26.320	6580	N	1	0	
00:26.960	6740	N	1	0	
00:27.596	6899	N	1	0	
00:28.236	7059	N	1	0	
00:28.876	7219	N	1	0	
00:29.512	7378	N	1	0	
00:30.048	7512	N	1	0	
00:30.796	7699	N	1	0	
00:31.432	7858	N	1	0	
00:32.068	8017	N	1	0	
00:32.708	8177	N	1	0	
00:33.352	8338	N	1	0	
00:33.988	8497	N	1	0	
00:34.632	8658	N	1	0	
00:35.144	8786	N	1	0	
00:35.912	8978	N	1	0	
00:36.556	9139	N	1	0	
00:37.192	9298	N	1	0	
00:37.828	9457	N	1	0	
00:38.464	9616	N	1	0	
00:39.108	9777	N	1	0	
00:39.744	9936	N	1	0	
00:40.376	10094	N	1	0	
00:41.016	10254	N	1	0	
00:41.660	10415	|	1	0	
00:43.252	10813	|	1	0	
00:44.888	11222	|	1	0	
00:47.560	11890	|	1	0	
00:48.860	12215	N	1	0	
00:49.360	12340	|	1	0	
00:50.116	12529	|	1	0	
00:50.768	12692	N	1	0	
00:51.180	12795	|	1	0	
00:52.128	13032	N	1	0	
00:52.784	13196	N	1	0	
00:53.252	13313	N	1	0	
00:53.644	13411	N	1	0	
00:53.852	13463	N	1	0	
00:54.084	13521	N	1	0	
00:54.724	13681	N	1	0	
00:55.344	13836	N	1	0	
00:55.568	13892	|	1	0	
00:57.752	14438	|	1	0	
00:58.580	14645	N	1	0	
00:59.224	14806	|	1	0	
01:00.212	15053	N	1	0	
01:00.452	15113	|	1	0	
01:01.104	15276	|	1	0	
01:02.416	15604	N	1	0	
01:03.048	15762	N	1	0	
01:03.264	15816	N	1	0	
01:03.504	15876	|	1	0	
01:04.304	16076	N	1	0	
01:04.764	16191	N	1	0	
01:05.560	16390	N	1	0	
01:05.784	16446	N	1	0	
01:06.184	16546	N	1	0	
01:06.672	16668	N	1	0	
01:07.136	16784	N	1	0	
01:07.424	16856	N	1	0	
01:07.648	16912	N	1	0	
01:08.040	17010	N	1	0	
01:08.444	17111	N	1	0	
01:09.232	17308	N	1	0	
01:09.540	17385	N	1	0	
01:09.764	17441	N	1	0	
01:10.508	17627	N	1	0	
01:11.124	17781	|	1	0	
01:11.748	17937	N	1	0	
01:12.380	18095	N	1	0	
01:12.956	18239	N	1	0	
01:13.348	18337	N	1	0	
01:13.644	18411	N	1	0	
01:14.284	18571	N	1	0	
