Time	Sample	Type	chan	num	Aux
00:00.424	106	N	1	0	
00:01.168	292	N	1	0	
00:01.944	486	N	1	0	
00:02.424	606	N	1	0	
00:03.240	810	N	1	0	
00:03.740	935	N	1	0	
00:04.476	1119	N	1	0	
00:05.328	1332	N	1	0	
00:05.996	1499	N	1	0	
00:06.840	1710	N	1	0	
00:07.768	1942	N	1	0	
00:08.456	2114	N	1	0	
00:08.976	2244	N	1	0	
00:09.496	2374	N	1	0	
00:10.068	2517	N	1	0	
00:10.616	2654	N	1	0	
00:11.268	2817	N	1	0	
00:12.048	3012	N	1	0	
00:12.644	3161	N	1	0	
00:13.468	3367	N	1	0	
00:14.412	3603	N	1	0	
00:15.016	3754	N	1	0	
00:15.588	3897	N	1	0	
00:16.404	4101	N	1	0	
00:17.024	4256	N	1	0	
00:17.496	4374	N	1	0	
00:17.960	4490	N	1	0	
00:18.720	4680	|	1	0	
00:19.744	4936	N	1	0	
00:20.336	5084	N	1	0	
00:21.160	5290	N	1	0	
00:22.064	5516	N	1	0	
00:22.572	5643	N	1	0	
00:23.476	5869	N	1	0	
00:24.244	6061	N	1	0	
00:24.728	6182	N	1	0	
00:25.600	6400	N	1	0	
00:26.200	6550	N	1	0	
00:26.808	6702	N	1	0	
00:27.484	6871	N	1	0	
00:28.008	7002	N	1	0	
00:28.724	7181	N	1	0	
00:29.544	7386	N	1	0	
00:30.036	7509	N	1	0	
00:30.864	7716	N	1	0	
00:31.552	7888	N	1	0	
00:32.212	8053	N	1	0	
00:32.856	8214	N	1	0	
00:33.376	8344	N	1	0	
00:34.080	8520	N	1	0	
00:34.780	8695	N	1	0	
00:35.568	8892	N	1	0	
00:35.920	8980	|	1	0	
00:36.708	9177	|	1	0	
00:37.568	9392	N	1	0	
00:38.200	9550	N	1	0	
00:38.516	9629	N	1	0	
00:38.732	9683	N	1	0	
00:39.056	9764	N	1	0	
00:39.280	9820	N	1	0	
00:39.600	9900	N	1	0	
00:39.856	9964	N	1	0	
00:40.412	10103	|	1	0	
00:40.952	10238	N	1	0	
00:41.212	10303	|	1	0	
00:42.000	10500	N	1	0	
00:42.200	10550	N	1	0	
00:42.516	10629	N	1	0	
00:42.696	10674	|	1	0	
00:43.028	10757	N	1	0	
00:43.296	10824	|	1	0	
00:43.816	10954	N	1	0	
00:44.084	11021	N	1	0	
00:44.324	11081	N	1	0	
00:44.584	11146	N	1	0	
00:44.840	11210	N	1	0	
00:45.144	11286	|	1	0	
00:45.576	11394	|	1	0	
00:46.060	11515	N	1	0	
00:46.304	11576	N	1	0	
00:46.780	11695	N	1	0	
00:47.032	11758	N	1	0	
00:47.280	11820	|	1	0	
00:48.012	12003	N	1	0	
