Time	Sample	Type	chan	num	Aux
00:00.224	56	N	1	0	
00:00.564	141	|	1	0	
00:00.968	242	N	1	0	
00:01.288	322	|	1	0	
00:02.336	584	|	1	0	
00:03.652	913	N	1	0	
00:04.200	1050	N	1	0	
00:05.024	1256	|	1	0	
00:05.656	1414	N	1	0	
00:06.360	1590	N	1	0	
00:07.032	1758	N	1	0	
00:07.700	1925	|	1	0	
00:09.024	2256	N	1	0	
00:09.676	2419	N	1	0	
00:10.008	2502	N	1	0	
00:10.400	2600	N	1	0	
00:10.656	2664	N	1	0	
00:11.052	2763	|	1	0	
00:11.872	2968	N	1	0	
00:12.600	3150	N	1	0	
00:13.308	3327	N	1	0	
00:13.644	3411	|	1	0	
00:14.704	3676	N	1	0	
00:15.388	3847	|	1	0	
00:16.692	4173	N	1	0	
00:17.116	4279	N	1	0	
00:17.436	4359	N	1	0	
00:18.120	4530	N	1	0	
00:18.788	4697	N	1	0	
00:19.256	4814	N	1	0	
00:20.124	5031	N	1	0	
00:20.796	5199	N	1	0	
00:21.468	5367	N	1	0	
00:22.148	5537	N	1	0	
00:22.844	5711	N	1	0	
00:23.540	5885	N	1	0	
00:24.228	6057	N	1	0	
00:24.916	6229	N	1	0	
00:25.600	6400	N	1	0	
00:26.280	6570	N	1	0	
00:26.968	6742	N	1	0	
00:27.668	6917	N	1	0	
00:28.368	7092	N	1	0	
00:29.072	7268	N	1	0	
00:29.716	7429	N	1	0	
00:30.480	7620	N	1	0	
00:31.188	7797	N	1	0	
00:31.896	7974	N	1	0	
00:32.588	8147	N	1	0	
00:33.280	8320	N	1	0	
00:33.972	8493	N	1	0	
00:34.664	8666	N	1	0	
00:35.344	8836	N	1	0	
00:36.016	9004	N	1	0	
00:36.336	9084	N	1	0	
00:36.688	9172	N	1	0	
00:37.192	9298	N	1	0	
00:38.012	9503	|	1	0	
00:40.688	10172	N	1	0	
00:41.356	10339	N	1	0	
00:42.020	10505	N	1	0	
00:42.684	10671	N	1	0	
00:43.284	10821	|	1	0	
00:44.564	11141	|	1	0	
00:45.128	11282	|	1	0	
00:45.900	11475	N	1	0	
00:46.512	11628	N	1	0	
00:46.856	11714	N	1	0	
00:47.200	11800	N	1	0	
00:47.448	11862	N	1	0	
00:47.880	11970	N	1	0	
00:48.548	12137	|	1	0	
00:49.208	12302	N	1	0	
00:49.888	12472	N	1	0	
00:50.576	12644	N	1	0	
00:51.264	12816	N	1	0	
00:51.964	12991	N	1	0	
00:52.660	13165	N	1	0	
00:53.344	13336	N	1	0	
00:54.036	13509	N	1	0	
00:54.372	13593	N	1	0	
00:54.720	13680	N	1	0	
00:54.976	13744	N	1	0	
00:55.400	13850	N	1	0	
00:55.640	13910	N	1	0	
00:56.080	14020	N	1	0	
00:56.760	14190	N	1	0	
00:57.448	14362	N	1	0	
00:58.144	14536	N	1	0	
00:58.848	14712	N	1	0	
00:59.548	14887	N	1	0	
01:00.248	15062	N	1	0	
01:00.948	15237	N	1	0	
01:01.652	15413	N	1	0	
01:02.092	15523	N	1	0	
01:02.336	15584	N	1	0	
01:02.532	15633	N	1	0	
01:03.032	15758	N	1	0	
01:03.728	15932	N	1	0	
01:04.408	16102	N	1	0	
01:05.088	16272	N	1	0	
01:05.768	16442	N	1	0	
01:06.448	16612	N	1	0	
01:07.116	16779	N	1	0	
01:07.776	16944	N	1	0	
01:08.432	17108	N	1	0	
01:09.104	17276	N	1	0	
01:09.400	17350	|	1	0	
01:10.424	17606	N	1	0	
01:11.084	17771	N	1	0	
01:11.632	17908	|	1	0	
01:12.392	18098	N	1	0	
01:12.924	18231	N	1	0	
01:13.700	18425	N	1	0	
01:14.376	18594	N	1	0	
01:15.060	18765	N	1	0	
01:15.756	18939	N	1	0	
01:16.452	19113	N	1	0	
01:17.148	19287	N	1	0	
01:17.840	19460	N	1	0	
01:18.536	19634	N	1	0	
01:19.224	19806	N	1	0	
01:19.924	19981	N	1	0	
01:20.576	20144	N	1	0	
01:21.252	20313	N	1	0	
01:21.928	20482	N	1	0	
01:22.596	20649	N	1	0	
01:23.260	20815	N	1	0	
01:23.932	20983	N	1	0	
01:24.600	21150	N	1	0	
01:25.276	21319	N	1	0	
01:25.948	21487	N	1	0	
01:26.624	21656	N	1	0	
01:27.284	21821	N	1	0	
01:27.952	21988	N	1	0	
01:28.620	22155	N	1	0	
01:29.172	22293	N	1	0	
01:29.952	22488	N	1	0	
01:30.616	22654	N	1	0	
01:31.284	22821	N	1	0	
01:31.952	22988	N	1	0	
01:32.612	23153	N	1	0	
01:33.280	23320	N	1	0	
01:33.932	23483	N	1	0	
01:34.600	23650	N	1	0	
01:35.268	23817	N	1	0	
01:35.932	23983	N	1	0	
01:36.600	24150	N	1	0	
01:37.276	24319	N	1	0	
01:37.944	24486	N	1	0	
01:38.612	24653	N	1	0	
01:39.288	24822	N	1	0	
01:39.968	24992	N	1	0	
01:40.644	25161	N	1	0	
01:41.328	25332	N	1	0	
01:42.012	25503	N	1	0	
01:42.704	25676	N	1	0	
01:43.396	25849	N	1	0	
01:44.084	26021	N	1	0	
01:44.784	26196	N	1	0	
01:45.472	26368	N	1	0	
01:46.168	26542	N	1	0	
01:46.864	26716	N	1	0	
01:47.552	26888	N	1	0	
01:48.244	27061	N	1	0	
01:48.940	27235	N	1	0	
01:49.640	27410	N	1	0	
01:50.332	27583	N	1	0	
01:51.036	27759	N	1	0	
01:51.736	27934	N	1	0	
01:52.436	28109	N	1	0	
01:53.128	28282	N	1	0	
01:53.808	28452	N	1	0	
01:54.476	28619	N	1	0	
01:55.132	28783	N	1	0	
01:55.780	28945	N	1	0	
01:56.424	29106	N	1	0	
01:57.072	29268	N	1	0	
01:57.716	29429	N	1	0	
01:58.372	29593	N	1	0	
