Time	Sample	Type	chan	num	Aux
00:01.016	254	N	1	0	
00:02.044	511	N	1	0	
00:03.064	766	N	1	0	
00:04.092	1023	N	1	0	
00:05.116	1279	N	1	0	
00:06.148	1537	N	1	0	
00:07.172	1793	N	1	0	
00:08.204	2051	N	1	0	
00:09.228	2307	N	1	0	
00:10.256	2564	N	1	0	
00:11.280	2820	N	1	0	
00:12.296	3074	N	1	0	
00:13.304	3326	N	1	0	
00:14.300	3575	N	1	0	
00:15.288	3822	N	1	0	
00:16.288	4072	N	1	0	
00:17.276	4319	N	1	0	
00:18.276	4569	N	1	0	
00:19.268	4817	N	1	0	
00:20.268	5067	N	1	0	
00:21.228	5307	N	1	0	
00:22.216	5554	N	1	0	
00:23.184	5796	N	1	0	
00:24.172	6043	N	1	0	
00:25.160	6290	N	1	0	
00:26.136	6534	N	1	0	
00:27.124	6781	N	1	0	
00:28.108	7027	N	1	0	
00:29.108	7277	N	1	0	
00:30.104	7526	N	1	0	
00:31.116	7779	N	1	0	
00:32.132	8033	N	1	0	
00:33.160	8290	N	1	0	
00:34.196	8549	N	1	0	
00:35.228	8807	N	1	0	
00:36.280	9070	N	1	0	
00:37.312	9328	N	1	0	
00:38.356	9589	N	1	0	
00:39.400	9850	N	1	0	
00:40.448	10112	N	1	0	
00:41.504	10376	N	1	0	
00:42.544	10636	N	1	0	
00:43.580	10895	N	1	0	
00:44.624	11156	N	1	0	
00:45.676	11419	N	1	0	
00:46.720	11680	N	1	0	
00:47.752	11938	N	1	0	
00:48.796	12199	N	1	0	
00:49.828	12457	N	1	0	
00:50.872	12718	N	1	0	
00:51.904	12976	N	1	0	
00:52.948	13237	N	1	0	
00:53.984	13496	N	1	0	
00:55.032	13758	N	1	0	
00:56.084	14021	N	1	0	
00:57.132	14283	N	1	0	
00:58.188	14547	N	1	0	
00:59.244	14811	N	1	0	
01:00.300	15075	N	1	0	
01:01.344	15336	N	1	0	
01:02.396	15599	N	1	0	
01:03.436	15859	N	1	0	
01:04.488	16122	N	1	0	
01:05.544	16386	N	1	0	
01:06.600	16650	N	1	0	
01:07.664	16916	N	1	0	
01:08.712	17178	N	1	0	
01:09.764	17441	N	1	0	
